Station 1,Station 2,Time
Oval,Stockwell,2
Oxford Circus,Piccadilly Circus,2
Oxford Circus,Bond Street,2
Oxford Circus,Green Park,2
Paddington,Edgware Road,2
Paddington,Royal Oak,2
Park Royal,Alperton,2
Parsons Green,Putney Bridge,3
Perivale,Greenford,2
Piccadilly Circus,Charing Cross,2
Piccadilly Circus,Green Park,2
Pimlico,Vauxhall,2
Pinner,Northwood Hills,3
Plaistow,West Ham,2
Preston Road,Wembley Park,3
Putney Bridge,East Putney,3
Queen's Park,Kilburn Park,2
Queensbury,Kingsbury,2
Queensway,Notting Hill Gate,2
Ravenscourt Park,Stamford Brook,2
Rayners Lane,Eastcote,2
Rayners Lane,West Harrow,3
Redbridge,Wanstead,2
Regent's Park,Oxford Circus,2
Rickmansworth,Moor Park,5
Roding Valley,Chigwell,3
Roding Valley,Woodford,4
Royal Oak,Westbourne Park,2
Ruislip,Ruislip Manor,2
Ruislip Gardens,West Ruislip,2
Ruislip Manor,Eastcote,2
Russell Square,Holborn Central,2
Seven Sisters,Finsbury Park,5
Shepherd's Bush,White City,3
Shepherd's Bush Market,Goldhawk Road,1
Sloane Square,Victoria,2
Sloane Square,South Kensington,2
Snaresbrook,Leytonstone,2
South Ealing,Northfields,1
South Harrow,Rayners Lane,5
South Kensington,Gloucester Road,2
South Kenton,North Wembley,2
South Ruislip,Ruislip Gardens,2
South Wimbledon,Morden,3
South Woodford,Snaresbrook,2
Southfields,Wimbledon Park,2
Southgate,Arnos Grove,4
Southwark,London Bridge,2
St. James's Park,Westminster,2
St. James's Park,Victoria,2
St. John's Wood,Baker Street,3
St. Paul's,Chancery Lane,2
Stamford Brook,Turnham Green,1
Stanmore,Canons Park,4
Stepney Green,Whitechapel,3
Stockwell,Clapham North,2
Stockwell,Brixton,2
Stonebridge Park,Harlesden,2
Stratford,Mile End,4
Sudbury Hill,South Harrow,3
Sudbury Town,Sudbury Hill,2
Swiss Cottage,St. John's Wood,2
Temple,Embankment,2
Theydon Bois,Debden,3
Tooting Bec,Tooting Broadway,2
Tooting Broadway,Colliers Wood,2
Tottenham,Oxford Circus,1
Tottenham Court Road,Leicester Square,2
Tottenham Hale,Seven Sisters,2
Totteridge & Whetstone,Woodside Park,2
Tower Hill,Aldgate,2
Tower Hill,Monument,2
Tufnell Park,Kentish Town,1
Turnham Green,Chiswick Park,2
Turnham Green,Gunnersbury,3
Turnham Green,Acton Town,4
Turnpike Lane,Manor House,4
Upminster,Upminster Bridge,2
Upminster Bridge,Hornchurch,2
Upney,Barking,3
Upton Park,Plaistow,2
Vauxhall,Stockwell,3
Victoria,Pimlico,2
Walthamstow Central,Blackhorse Road,3
Wanstead,Leytonstone,2
Warren Street,Euston,1
Warren Street,Goodge Street,2
Warren Street,Oxford Circus,2
Warwick Avenue,Paddington,2
Waterloo,Lambeth North,2
Waterloo,Southwark,2
Waterloo,Kennington,3
Watford,Croxley,4
Wembley Central,Stonebridge Park,2
Wembley Park,Neasden,4
Wembley Park,Finchley Road,7
West Acton,Ealing Broadway,3
West Brompton,Fulham Broadway,2
West Finchley,Finchley Central,2
West Ham,Bromley-by-Bow,2
West Ham,Stratford,2
West Hampstead,Finchley Road,1
West Harrow,Harrow-on-the-Hill,2
West Kensington,Barons Court,2
Westbourne Park,Ladbroke Grove,2
Westminster,Embankment,1
Westminster,Waterloo,2
White City,East Acton,3
Whitechapel,Aldgate East,2
Willesden Green,Kilburn,2
Willesden Junction,Kensal Green,3
Wimbledon Park,Wimbledon,4
Wood Green,Turnpike Lane,2
Wood Lane,Shepherd's Bush Market,2
Woodford,South Woodford,3
Woodside Park,West Finchley,2
